B219005-01229,415318.389,573043.927,69.431,F S
B219005-01230,415318.522,573043.973,69.468,F
B219005-01231,415318.631,573044.071,69.51,F
B219005-01232,415318.691,573044.086,69.479,F
B219005-01233,415318.703,573044.106,69.76,F S
B219005-01234,415318.789,573044.191,69.748,F
B219005-01235,415318.95,573044.272,69.749,F
B219005-01236,415319.076,573044.327,69.764,F
B219005-01237,415319.158,573044.14,69.792,F S
B219005-01238,415319.068,573044.11,69.762,F
B219005-01239,415318.967,573044.083,69.712,F
B219005-01240,415318.841,573044.006,69.743,F
S219005-01241,415319.158,573044.159,70.057,F S
S219005-01242,415319.143,573044.123,69.897,F
S219005-01243,415319.153,573044.149,69.78,F
S219005-01244,415319.104,573044.238,69.754,F
S219005-01245,415319.095,573044.272,69.746,F
S219005-01246,415319.07,573044.336,69.776,F
S219005-01247,415319.042,573044.355,69.973,F
S219005-01248,415319.058,573044.349,70.082,F
S219005-01249,415319.113,573044.278,70.06,F C
S219005-01250,415318.421,573043.659,69.848,F S
S219005-01251,415318.397,573043.729,69.67,F
S219005-01252,415318.417,573043.776,69.527,F
S219005-01253,415318.47,573043.812,69.474,F
S219005-01254,415318.407,573043.905,69.471,F
S219005-01255,415318.371,573043.838,69.632,F
S219005-01256,415318.33,573043.831,69.751,F
S219005-01257,415318.262,573043.835,69.824,F
S219005-01258,415318.338,573043.779,69.813,F C
L219004-01259,415318.036,573043.631,69.753,P
TR219-BASE-01260,415318.751,573044.88,70.13,F S
TR219-BASE-01261,415320.345,573043.557,70.132,F
TR219-BASE-01262,415319.489,573042.479,69.752,F
TR219-BASE-01263,415318.746,573041.545,69.679,F
TR219-BASE-01264,415318.257,573040.89,70.267,F
TR219-BASE-01265,415317.18,573039.583,70.222,F
TR219-BASE-01266,415314.022,573035.72,70.307,F
TR219-BASE-01267,415310.994,573032.031,70.488,F
TR219-BASE-01268,415307.829,573028.431,70.516,F
TR219-BASE-01269,415305.657,573025.946,70.634,F
TR219-BASE-01270,415304.845,573024.96,70.928,F
TR219-BASE-01271,415303.283,573026.325,70.9,F
TR219-BASE-01272,415304.448,573027.619,70.581,F
TR219-BASE-01273,415309.055,573032.963,70.464,F
TR219-BASE-01274,415311.902,573036.355,70.333,F
TR219-BASE-01275,415316.486,573042.074,70.246,F
TR219-BASE-01276,415316.892,573042.511,69.82,F
TR219-BASE-01277,415318.008,573043.85,69.79,F C
TR221-BASE-01278,415446.675,573118.646,70.061,F S
TR221-BASE-01279,415444.953,573117.327,70.083,F
TR221-BASE-01280,415446.672,573115.218,70.081,F
TR221-BASE-01281,415448.219,573113.234,70.116,F
TR221-BASE-01282,415451.209,573109.455,70.116,F
TR221-BASE-01283,415454.593,573105.464,70.138,F
TR221-BASE-01284,415457.707,573101.716,70.142,F
TR221-BASE-01285,415460.186,573098.776,70.081,F
TR221-BASE-01286,415461.224,573097.569,70.18,F
TR221-BASE-01287,415462.775,573098.911,70.214,F
TR221-BASE-01288,415460.453,573101.696,70.123,F
TR221-BASE-01289,415456.704,573106.188,70.147,F
TR221-BASE-01290,415452.781,573110.866,70.085,F
TR221-BASE-01291,415449.257,573115.283,70.095,F C
C221005-01292,415450.282,573112.355,70.084,F S
C221005-01293,415450.283,573112.233,70.112,F
C221005-01294,415450.244,573112.163,70.105,F
C221005-01295,415450.273,573112.096,70.11,F
C221005-01296,415450.269,573111.985,70.112,F
C221005-01297,415450.206,573111.954,70.11,F
C221005-01298,415450.093,573111.971,70.114,F
C221005-01299,415450.043,573112.077,70.119,F
C221005-01300,415449.964,573112.115,70.119,F
C221005-01301,415449.884,573112.177,70.117,F
C221005-01302,415449.849,573112.199,70.111,F
C221005-01303,415449.923,573112.361,70.068,F
C221005-01304,415449.995,573112.427,70.063,F
C221005-01305,415450.028,573112.455,70.053,F
C221005-01306,415450.171,573112.487,70.09,F
C221005-01307,415450.26,573112.431,70.11,F C
B221005-01308,415450.149,573112.314,69.95,F S
B221005-01309,415450.123,573112.337,69.976,F
B221005-01310,415450.086,573112.323,69.986,F
B221005-01311,415450.018,573112.317,69.992,F
B221005-01312,415449.981,573112.26,69.998,F
B221005-01313,415449.993,573112.164,69.974,F
S221005-01314,415450.263,573112.356,70.096,F S
S221005-01315,415450.231,573112.361,70.05,F
S221005-01316,415450.187,573112.341,70.029,F
S221005-01317,415450.144,573112.302,69.948,F
S221005-01318,415450.101,573112.282,69.947,F
S221005-01319,415450.107,573112.265,69.964,F
S221005-01320,415450.069,573112.224,69.959,F
S221005-01321,415449.991,573112.182,69.967,F
S221005-01322,415449.97,573112.157,70.046,F
S221005-01323,415449.979,573112.132,70.127,F
S221005-01324,415450.072,573112.186,70.115,F
S221005-01325,415450.199,573112.291,70.124,F C
L221004-01326,415450.147,573112.169,70.112,P
TR261-01327,415576.176,572937.449,69.963,F S
TR261-01328,415576.733,572939.502,69.969,F
TR261-01329,415572.221,572940.745,69.991,F
TR261-01330,415568.237,572941.892,70.11,F
TR261-01331,415565.118,572942.854,70.21,F
TR261-01332,415561.142,572943.976,70.186,F
TR261-01333,415556.607,572945.436,70.171,F
TR261-01334,415553.526,572946.271,70.167,F
TR261-01335,415553.226,572946.44,70.302,F
TR261-01336,415552.525,572944.384,70.336,F
TR261-01337,415553.014,572944.274,70.144,F
TR261-01338,415557.321,572942.967,70.171,F
TR261-01339,415561.569,572941.678,70.121,F
TR261-01340,415565.425,572940.557,70.184,F
TR261-01341,415568.974,572939.504,70.014,F
TR261-01342,415573.043,572938.342,69.935,F
TR261-01343,415575.039,572937.786,69.958,F C
